Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj Pulsar 150 DD ON-TEST MATT 2022,Motorbikes,2022,8325,150,160852
Bajaj,Bajaj Pulsar 150 . 2019,Motorbikes,2019,24000,150,132000
Bajaj,Bajaj Platina SD CBS BIKE 2022,Motorbikes,2022,8500,110,95000
Bajaj,Bajaj Pulsar NS 160 good condition 2018,Motorbikes,2018,38000,160,115000
Bajaj,Bajaj CT 100 . 2020,Motorbikes,2020,78000,100,60000
Bajaj,Bajaj Pulsar 150 . 2010,Motorbikes,2010,45000,150,75000
Bajaj,Bajaj Discover 125 2021,Motorbikes,2021,17580,125,102000
Bajaj,Bajaj Pulsar dok all 💯🆗 2012,Motorbikes,2012,25412,150,67000
Bajaj,Bajaj Pulsar . 2009,Motorbikes,2009,50000,180,65000
Bajaj,Bajaj Pulsar 135 . 2011,Motorbikes,2011,20000,135,48000
Bajaj,Bajaj Pulsar 150 ফ্রেশ কন্ডিশন 2020,Motorbikes,2020,73000,150,65000
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,19000,150,165000
Bajaj,Bajaj Pulsar NS . 2018,Motorbikes,2018,60000,160,150000
Bajaj,Bajaj CT 100  2009,Motorbikes,2009,20000,100,48000
Bajaj,Bajaj Boxer BLACK 2010,Motorbikes,2010,1000000,150,37000
Bajaj,Bajaj Pulsar 150 BLACK 2015,Motorbikes,2015,15000,150,58000
Bajaj,Bajaj Avenger 150 Street . 2019,Motorbikes,2019,31000,150,145000
Bajaj,Bajaj Platina Red 2021,Motorbikes,2021,16000,110,89500
Bajaj,Bajaj Pulsar 150 2017,Motorbikes,2017,45000,150,70000
Bajaj,Bajaj CT 100 2015,Motorbikes,2015,49000,100,48000
Bajaj,Bajaj Discover 100  2011,Motorbikes,2011,35000,100,75000
Bajaj,Bajaj Discover 100 2021,Motorbikes,2021,14000,110,110000
Bajaj,Bajaj Pulsar 150 2017,Motorbikes,2017,28000,150,125000
Bajaj,Bajaj Platina . 2021,Motorbikes,2021,26750,100,79500
Bajaj,Bajaj Pulsar 150 . 2021,Motorbikes,2021,12000,150,150000
Bajaj,Bajaj Pulsar 150 2012,Motorbikes,2012,6600,150,80000
Bajaj,Bajaj Platina Bike 2019,Motorbikes,2019,35000,102,68000
Bajaj,Bajaj Pulsar 150 . 2016,Motorbikes,2016,35000,150,120000
Bajaj,Bajaj Discover 100 . 2012,Motorbikes,2012,35000,100,55000
Bajaj,Bajaj Pulsar 150 2019,Motorbikes,2019,150,150,145000
Bajaj,Bajaj Discover 125 2022,Motorbikes,2022,4000,125,131500
Bajaj,Bajaj Discover 135 2010,Motorbikes,2010,45000,135,105000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Pulsar 150 . 2013,Motorbikes,2013,30000,150,92000
Bajaj,Bajaj Pulsar NS . 2020,Motorbikes,2020,16700,200,135000
Bajaj,Bajaj Pulsar AS . 2016,Motorbikes,2016,22000,150,110000
Bajaj,Bajaj Pulsar 150 . 2020,Motorbikes,2020,9600,150,180000
Bajaj,Bajaj Pulsar 150 blue 2017,Motorbikes,2017,23000,150,130400
Bajaj,Bajaj Pulsar 150 . 2014,Motorbikes,2014,56000,150,91000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Pulsar 150 On test 2021,Motorbikes,2021,5000,150,158100
